French,English
Afghanistan,Afghanistan
Albanie,Albania
Algerie,Algeria
Andorre,Andorra
Angola,Angola
Antigua-et-Barbuda,Antigua and Barbuda
Antilles Neerlandaises,Netherlands Antilles
Argentine,Argentina
Armenie,Armenia
Australie,Australia
Autriche,Austria
Azerbaidjan,Azerbaijan
Bahamas,Bahamas
Bahrein,Bahrain
Bangladesh,Bangladesh
Barbade,Barbados
Belarus,Belarus
Belau,Palau
Belgique,Belgium
Belize,Belize
Benin,Benin
Bermudes,Bermuda
Bhoutan,Bhutan
"Bolivie, Etat Plurinational ",Bolivia
Bosnie-Herzegovine,Bosnia
Botswana,Botswana
Bresil,Brazil
Brunei Darussalam,Brunei
Bulgarie,Bulgaria
Burkina Faso,Burkina-Faso
Myanmar,Myanmar
Burundi,Burundi
Cambodge,Cambodia
Cameroun,Cameroon
Canada,Canada
Cap-Vert,Cape Verde Island
Republique centrafricaine,Central African Republic
Tchad,Chad
Chili,Chile
Chine,China
"Macao, Chine",China
"Hong-kong, Chine",China
"Taiwan, Chine",China
Colombie,Colombia
Comores,Comoro Islands
Congo,Congo
"Congo, Republique Democratique",Congo
iles Cook,Cook Islands
Costa Rica,Costa Rica
Cote d Ivoire,Cote d Ivoire
Croatie,Croatia
Cuba,Cuba
Chypre,Cyprus
Republique Tcheque,Czech Republic
Danemark,Denmark
Djibouti,Djibouti
Dominique,Dominica
Republique dominicaine,Dominican Republic
Equateur,Ecuador
Egypte,Egypt
El Salvador,El Salvador
Angleterre,England
Guinee equatoriale,Equatorial Guinea
Erythree,Eritrea
Estonie,Estonia
ethiopie,Ethiopia
iles Feroe,Faroe Islands
Fidji,Fiji
Finlande,Finland
France,France
Polynesie francaise,French Polynesia
Gabon,Gabon
Gambie,Gambia
Georgie,Georgia
Allemagne,Germany
Ghana,Ghana
Grece,Greece
Groenland,Greenland
Grenade,Grenada
Guam,Guam
Guatemala,Guatemala
Guineee,Guinea
Guinee-bissau,Guinea Bissau
Guyana,British Guiana
Guyane Française,French Guyana
Polynesie Française,French Polynesia
Haiti,Haiti
Honduras,Honduras
Hongrie,Hungary
Islande,Iceland
Inde,India
Indonesie,Indonesia
"Iran, Republique Islamique",Iran
Iraq,Iraq
Irlande,Ireland
Israel,Israel
Isra el,Israel
Italie,Italy
Jamaique,Jamaica
Japon,Japan
Jordanie,Jordan
Kazakstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Koweit,Kuwait
Kirghizistan,Kyrgyzstan
"Lao, Republique Democratique Populaire",Laos
Lettonie,Latvia
Liban,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libye,Libya
Liechtenstein,Liechtenstein
Lituanie,Lithuania
Luxembourg,Luxembourg
Republique De Macedoine Du Nord,Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaisie,Malaysia
Maldives,Maldives
Mali,Mali
Malte,Malta
IMarshall,Marshall Islands
Mauritanie,Mauritania
ile Maurice,Mauritius
Mexique,Mexico
Micronesie,Micronesia
"Moldova, Republique",Moldavia
Monaco,Monaco
Mongolie,Mongolia
Montenegro,Montenegro
Maroc,Morocco
Mozambique,Mozambique
Namibie,Namibia
Nauru,Nauru
Nepal,Nepal
Pays-Bas,Netherlands
Nouvelle-caledonie,New Caledonia
Nouvelle-Zelande,New Zealand
Nicaragua,Nicaragua
Nioue,Nieu
Niger,Niger
Nigeria,Nigeria
Coree du Nord,North Korea
Irelande du Nord,Northern Ireland
Norvege,Norway
Oman,Oman
Pakistan,Pakistan
Panama,Panama
Etat De Palestine,Palestine
Papouasie-Nouvelle-Guinee,Papua New Guinea
Paraguay,Paraguay
Perou,Peru
Philippines,Philippines
Pologne,Poland
Portugal,Portugal
Qatar,Qatar
Reunion,Reunion
Roumanie,Romania
Federation De Russie,Russia
Rwanda,Rwanda
Saint-helene,Saint Helena
Saint-kitts-et-nevis,Saint Kitts-Nevis
Sainte-Lucie,Saint Lucia
Saint Pierre Et Miquelon,Saint Pierre Et Miquelon
Saint-vincent-et-les Grenadines,Saint Vincent and the Grenadines
Saint-Marin,San Marino
Sao Tome-et-principe,Sao Tome and Principe
Arabie saoudite,Saudi Arabia
ecosse,Scotland
Senegal,Senegal
Serbie,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapour,Singapore
Slovaquie,Slovakia
Slovenie,Slovenia
iles Salomon,Soloman Islands
Somalie,Somalia
Afrique du Sud,South Africa
"Coree, Republique",South Korea
Espagne,Spain
Sri Lanka,Sri Lanka
Soudan,Sudan
Suriname,Suriname
Swaziland,Swaziland
Suede,Sweden
Suisse,Switzerland
Republique Arabe Syrienne,Syria
Tadjikistan,Tajikistan
"Tanzanie, Republique-unie",Tanzania
Thailande,Thailand
Timor-leste,Timor
Togo,Togo
Tonga,Tonga
Trinite-et-Tobago,Trinidad and Tobago
Tunisie,Tunisia
Turquie,Turkey
Turkmenistan,Turkmenistan
Tuvalu,Tuvalu
Ouganda,Uganda
Ukraine,Ukraine
emirats arabes unis,United Arab Emirates
Royaume-Uni,United Kingdom
etats-Unis,United States
Uruguay,Uruguay
Ouzbekistan,Uzbekistan
Vanuatu,Vanuatu
Vatican,Vatican
Venezuela,Venezuela
Vietnam,Vietnam
pays de Galles,Wales
Samoa Americaines,American Samoa
Samoa occidentales,Western Samoa
Yemen,Yemen
Yougoslavie,Yugoslavia
Zaire,Zaire
Zambie,Zambia
Zimbabwe,Zimbabwe
